"","ko_id","add_backC","pFe21_9A","pFe19A","pFe19B","pFe19C","pFe21_9B","pFe21_9C"
"K02636",9.89040129584174,10.0145181308158,3.43430908694628,3.38215086031603,2.71827869300912,2.71827869300912,9.37613223253683,9.44980024867123
"K08901",9.12204683552596,8.88397766998965,3.93487807779479,2.71827869300912,3.73163289373749,3.58571983713356,9.31182157498231,9.09039206422953
"K02716",10.6675071357828,10.0943462675438,5.20179388778037,4.49765623422506,4.27677957492111,5.15567297370466,9.76777166587411,10.0027656307958
"K08910",9.6504404397292,9.08648581690527,4.39437897551672,3.38215086031603,3.73163289373749,4.01887512658513,9.03982764794238,9.01031842193846
"K02641",12.2758277749567,11.8874832275638,6.10409935407052,6.22857375508504,6.49954213730754,6.0719245708939,10.7407097052606,10.8226271839862
"K15283",10.2924343534349,9.75248170124509,3.93487807779479,4.28124800268776,4.27677957492111,4.3851404501789,8.74236779555591,8.9514983380676
"K10960",7.324324109471,7.06958143240602,5.26719254439961,3.38215086031603,4.27677957492111,3.82755781422924,10.3496132066202,10.4484602687165
"K00927",11.8544315803774,11.5379004361213,6.44496194763102,6.22857375508504,6.49954213730754,6.22285194803775,11.3324068912929,11.3862901157241
"K16362",5.7371839664716,8.16164946567738,10.6497213965677,11.8463390732532,12.0422125919011,7.81663959769468,5.94204377516494,5.67687663704832
"K03839",3.2704927687288,3.26292427686269,3.72101777063876,2.71827869300912,2.71827869300912,2.71827869300912,8.896506243586,8.79013519093288
"K00855",8.02192656620026,7.81742657677594,2.71827869300912,2.71827869300912,2.71827869300912,3.22407973613999,7.83055403555773,7.7430430692489
"K14572",4.3040145905366,5.03203011628222,10.7249901669379,10.4173885690117,11.4223417301244,10.0838933212765,9.07998869059649,8.65761399078018
"K02719",9.31569104462748,9.07890860929144,4.39437897551672,4.28124800268776,3.9475271791568,4.25262517591023,9.07204544979805,9.17215290474473
"K03403",10.9750905408865,10.6353071538567,6.33024015370252,5.48591489642736,6.26427573498178,6.0719245708939,10.8486688623524,11.207548206685
"K14565",3.2704927687288,4.20171422164154,9.59351941137567,9.0088170116233,9.73752789655528,8.92795291918473,8.86236999392752,8.76887690192309
"K02115",11.1345281357501,10.7302549008143,6.30005534707862,5.92287443547905,5.98218071962694,5.82082557562346,10.3471472439268,10.5690576590002
"K01749",5.65436293562874,5.44248933054265,4.26125715635484,3.38215086031603,2.71827869300912,3.22407973613999,8.84149353028232,9.18534020132033
"K03404",7.05930922951272,6.83715097929317,5.26719254439961,3.6492062402105,3.9475271791568,4.01887512658513,9.4561239346438,9.83441344220654
"K03428",6.27624140889771,5.99398897026091,2.71827869300912,2.71827869300912,2.71827869300912,2.71827869300912,7.70766998984168,8.16917736024352
"K01845",6.8851134651532,6.55957796981806,5.65413812783622,4.01379929287045,4.64134179111593,4.61277633118604,9.88687629179997,10.3665790280304
"K08907",8.41967270714091,8.27655209794568,4.51402974045441,2.71827869300912,4.12466798416602,4.32077430308287,8.24880045467125,8.08094636755025
"K08906",10.650087600874,10.7237919759903,5.70154973307548,5.57622891738065,5.85997048091752,6.01781710811656,9.5100315595564,9.67424344866745
"K14857",3.10993723233681,2.71827869300912,7.9246545085369,7.66529386603114,8.47034835400227,7.57190703484425,8.20587385305093,7.67813014458187
