"","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K14564",3.40902660833906,4.30728029230473,8.32442789275578,8.78557180969957,8.3175698918399,8.98787934568916,7.98555673622493,7.88006982141283
"K14766",3.06069622824735,3.74160879952795,7.78766713948034,7.72711644539146,8.05440198273497,8.59763668916908,7.63342492072713,7.53214119914094
"K08907",8.80772609246533,8.65040840746266,3.88554994299838,4.78943763297809,4.81315374692772,5.49886775896209,8.53072876252396,8.27649855729476
"K02703",7.80170722476637,7.92280261863405,12.558206782333,12.0835087432115,11.5936557354239,12.2780891021811,8.67110892214415,9.52410670976804
"K14843",4.23739265122051,4.71988533636292,8.24663221267472,9.16187522412242,8.29519449703543,9.08429993403728,8.9835057413898,8.65995632438466
"K00218",9.11173597885939,8.83226712210608,5.37991687335562,5.75941688535165,6.13932090377381,5.65504230283817,9.60925802037051,9.93333532563742
"K01599",6.0546783920934,5.73465642172354,4.06438387231466,4.31744355023809,3.83369835401554,4.57193328740673,8.58742018073252,8.78985247645286
"K01803",9.81348609010927,9.79833021875961,5.56835127484861,5.26587545116269,4.90187904770187,6.07563756067023,7.69154203085238,7.75238707405979
"K01673",8.59981092018954,8.60550998894564,4.65118872180221,4.96901862206091,4.29972576499819,3.70098503283656,6.85907273500575,6.61509376619855
"K14786",3.55212783964546,3.74160879952795,7.98432877761013,7.84830575598903,7.29366335164867,7.99613650122719,7.72227933219794,7.49034411530426
"K09611",8.87537532973873,8.85899505723487,4.45412670568623,4.78943763297809,4.90187904770187,4.44990772926082,6.94001639473588,6.62375563383354
"K14852",3.90394698694913,3.54438689110964,7.45977231858545,7.50372311270499,7.20822053800132,8.22299525646031,8.01066279018907,7.74845463598982
"K02690",8.09810979588624,7.19827737870527,11.5208144098459,10.5811487377308,10.5911050306045,11.0234470186906,6.94001639473588,8.0138086478871
"K01624",10.4520681682781,10.2725439406955,6.44885906075089,6.57253420415178,6.88651565516774,6.98183555712465,9.98640637187924,9.96582918285053
"K21991",7.74358331838719,9.77201311634398,11.4668395375936,10.224615786458,9.68743640415606,10.1518044027825,6.80244349118591,6.28385984668878
"K02689",7.72367476453465,6.35946077525693,10.7569327359967,9.69821990853376,9.93892554364814,10.319628082158,6.37953005733416,7.39286270097421
"K02078",9.13073357517359,9.15339378729034,5.32834770063718,5.33057973794752,5.53159227214092,5.32217485415129,8.13001826650531,7.96383020724364
