"","ko_id","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"4141","K01469",6.96515826235651,6.88948272121967,6.94504651453381,6.81219065607114,6.88960720707616,6.68962693110168,7.01616337773768,6.97934643771764,7.09975696857013
"4142","K11323",7.56996764094191,7.65816940930827,7.30434310889011,7.43382655413737,7.51750385454846,7.54445314549417,7.42194169659658,7.38507790478729,7.31800055616333
"4143","K06688",6.67285943887062,6.66264966223322,6.64263648672879,6.86644233730402,6.84602288151244,6.89817239691857,6.82147226891259,6.96888011513614,6.70063461952286
"4144","K11358",5.09360591977132,4.89168102178113,4.80762406048475,4.81347054863911,4.87310372099122,5.12002500029539,4.83116364500625,5.01510728133458,4.93320983448922
"4145","K02576",4.38683984547031,4.52365808857465,4.80762406048475,4.64071943128945,4.53228856713042,4.61240373084865,4.61321262495851,4.70971143979871,4.60989129688241
"4146","K02577",4.38683984547031,4.52365808857465,4.80762406048475,4.64071943128945,4.53228856713042,4.61240373084865,4.61321262495851,4.70971143979871,4.60989129688241
"4147","K02578",4.38683984547031,4.52365808857465,4.80762406048475,4.64071943128945,4.53228856713042,4.61240373084865,4.61321262495851,4.70971143979871,4.60989129688241
"4148","K08592",6.30395342564309,6.36367168316389,6.64263648672879,6.41425310539547,6.37826087549975,6.44494936841954,6.32698873308882,6.34577689168068,6.59254977237055
"4149","K01872",9.44815908306727,9.30843628001315,9.19493662461836,9.43941417272958,9.33725195254182,9.31359319105701,9.1546336784638,9.18204652163168,9.13557874456215
"4150","K12879",8.62949824378128,8.82643715559843,8.5621756720029,8.72863351550264,8.87350783907369,8.86663645846377,8.88943425275874,8.87171159545054,8.76831526441154
"4151","K16288",5.99847604229752,5.92450012880133,6.01576111355785,6.09358689582746,5.87281636044421,5.95900581019986,5.86940288240794,5.99489889733037,6.24891123366784
"4152","K17546",5.99847604229752,5.92450012880133,6.01576111355785,6.09358689582746,5.87281636044421,5.95900581019986,5.86940288240794,5.99489889733037,6.24891123366784
"4153","K15118",4.5709792920049,4.45847409015247,4.80762406048475,4.49712720350144,4.5973067444638,4.72680635461652,4.67199477189587,4.58560051707588,4.75084093293581
"4154","K01968",8.18669881182041,7.90412967143766,7.90185807978721,8.04232045117552,8.06555684703451,8.15319796359125,7.93228691961186,7.93300804540539,7.86436893754444
