"","ko_id","add_backB","add_backC","pFe21_9A","pFe19A","pFe19B","pFe19C","pFe21_9B","pFe21_9C"
"1","K02636",9.89040129584174,10.0145181308158,3.43430908694628,3.38215086031603,2.71827869300912,2.71827869300912,9.37613223253683,9.44980024867123
"2","K08901",9.12204683552596,8.88397766998965,3.93487807779479,2.71827869300912,3.73163289373749,3.58571983713356,9.31182157498231,9.09039206422953
"3","K02716",10.6675071357828,10.0943462675438,5.20179388778037,4.49765623422506,4.27677957492111,5.15567297370466,9.76777166587411,10.0027656307958
"4","K08910",9.6504404397292,9.08648581690527,4.39437897551672,3.38215086031603,3.73163289373749,4.01887512658513,9.03982764794238,9.01031842193846
"5","K02641",12.2758277749567,11.8874832275638,6.10409935407052,6.22857375508504,6.49954213730754,6.0719245708939,10.7407097052606,10.8226271839862
"6","K15283",10.2924343534349,9.75248170124509,3.93487807779479,4.28124800268776,4.27677957492111,4.3851404501789,8.74236779555591,8.9514983380676
"7","K10960",7.324324109471,7.06958143240602,5.26719254439961,3.38215086031603,4.27677957492111,3.82755781422924,10.3496132066202,10.4484602687165
"8","K00927",11.8544315803774,11.5379004361213,6.44496194763102,6.22857375508504,6.49954213730754,6.22285194803775,11.3324068912929,11.3862901157241
"9","K16362",5.7371839664716,8.16164946567738,10.6497213965677,11.8463390732532,12.0422125919011,7.81663959769468,5.94204377516494,5.67687663704832
"10","K03839",3.2704927687288,3.26292427686269,3.72101777063876,2.71827869300912,2.71827869300912,2.71827869300912,8.896506243586,8.79013519093288
"11","K00855",8.02192656620026,7.81742657677594,2.71827869300912,2.71827869300912,2.71827869300912,3.22407973613999,7.83055403555773,7.7430430692489
"12","K14572",4.3040145905366,5.03203011628222,10.7249901669379,10.4173885690117,11.4223417301244,10.0838933212765,9.07998869059649,8.65761399078018
"13","K02719",9.31569104462748,9.07890860929144,4.39437897551672,4.28124800268776,3.9475271791568,4.25262517591023,9.07204544979805,9.17215290474473
