"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K00001",161.745996004997,0.31237838378135,0.261915126525303,1.19267026660704,0.23299853476744,0.581391251506572
"K00002",592.406181318589,-0.278440231793769,0.192375937556007,-1.44737556750155,0.147791764869669,0.480623814827728
"K00003",292.096089441496,0.175513229301725,0.129876044553733,1.35139031916784,0.176570433253723,0.521459920893885
"K00006",715.053954336166,2.54394850346779,0.529003414451433,4.80894533753778,1.51728686081583e-06,0.000361114272874168
"K00010",283.828086175854,-0.0979392985017008,0.232817332742372,-0.420670133739901,0.673995972938358,0.885705644204776
"K00011",336.35832355834,0.0666418960369368,0.170715323537477,0.390368565961258,0.696264028442081,0.891815282459809
"K00012",947.645274827922,0.15134804146916,0.206332063005083,0.733516833326245,0.463243264768483,0.772278131191754
"K00015",12.7854964585105,0.455131160781062,0.447628801783658,1.01676022402381,0.309267508403981,0.660281506622426
"K00018",84.3160618389048,0.347974139921536,0.23506358647035,1.48034046934542,0.13878240829564,0.465839138120623
"K00019",85.2139044748366,-0.328954311277238,0.351707520116346,-0.935306447722296,0.34963039340609,0.694812209242003
"K00020",197.304999635353,0.0955070174129604,0.236403003558218,0.40400086282931,0.686212084688931,0.889680194559279
"K00021",238.854032875185,0.64095862881616,0.351000819200582,1.82608869767304,0.06783690240121,0.3267914390935
"K00024",662.965973336586,0.265767925915225,0.1423476571647,1.86703407143347,0.0618968300217412,0.309980317082828
"K00025",47.9103616609557,0.424385566516538,0.273138953925191,1.55373505103476,0.120247628601862,0.434875287809049
"K00026",5533.8418592331,-0.210282085886023,0.240030269156917,-0.876064867254527,0.380994770745051,0.721332284532715
"K00028",318.349264161407,0.222172480093797,0.210472186091073,1.05559068977248,0.291155256287136,0.642469744336912
"K00029",318.349264161407,0.222172480093797,0.210472186091073,1.05559068977248,0.291155256287136,0.642469744336912
"K00030",45.7370320229282,0.402399733952066,0.272932557623759,1.47435592681024,0.140385784387705,0.468077485236656
"K00031",402.592961900891,-0.405766606914367,0.215713559086055,-1.88104358684515,0.0599659899197511,0.30660973071043
"K00033",91.6224686256761,0.239373677882689,0.296275205774079,0.807943672698758,0.419123008731489,0.75108526268913
"K00036",446.104779178236,0.0109172198394128,0.203341808288579,0.053689007348254,0.957182941036085,0.989005772735732
"K00039",71.2197609069026,-0.393728802536867,0.224286353221828,-1.75547373650261,0.0791783091719097,0.354638582012426
"K00044",61.714372309939,-0.93016697124787,0.432453112211068,-2.15090826030148,0.0314834414275216,0.218851516348752
"K00045",44.9984377062631,0.11140972471019,0.382580068963005,0.291206295749199,0.770893547824585,0.924628258225888
"K00049",177.823790283346,-0.0634876153760248,0.243003826875742,-0.261261792426374,0.793890628782884,0.93433394811151
"K00052",189.671290164499,0.620008630683543,0.292661596800251,2.1185172139504,0.0341312886282218,0.227427853507251
"K00053",720.180835652799,-0.00267546538020628,0.175933759371302,-0.0152072313452918,0.987866852550551,0.998035354801619
"K00058",2388.47151071495,0.394564978455024,0.138350278718829,2.8519276007886,0.00434549967185435,0.0730996085254491
"K00059",869.827784385852,0.0655647072355728,0.136183667566864,0.481443247982595,0.63020150556706,0.866267086035249
"K00064",181.110569165225,-0.198308745757103,0.186056256393501,-1.06585368103768,0.286489790097536,0.63783046663099
"K00065",153.096483799201,-0.106057772434899,0.282734333170795,-0.375114586352097,0.707575249448208,0.896668635076609
"K00074",105.263585066933,-0.743334043860749,0.228484160738577,-3.25332855221961,0.00114061532309006,0.0345502750594188
"K00077",186.457771846133,-0.0188778661079644,0.179859836926838,-0.104958763615712,0.916408529793192,0.972856803718432
"K00078",1273.86216706496,0.191619650473846,0.459410638780341,0.417098852962056,0.676606103888515,0.886465089544609
"K00079",264.649946174764,-0.27332119072893,0.185769503846472,-1.4712920316287,0.141212157340565,0.469267528183607
"K00083",25.2376065647281,0.0452724389220423,0.36096282293843,0.125421334400868,0.900189999063919,0.971154549709027
"K00088",1031.34864244507,-0.367971630325804,0.216068576773071,-1.70303167550491,0.0885621407953252,0.376558341617294
"K00099",177.072488529863,-0.241141053071072,0.179693483249882,-1.34195769768535,0.179609712121508,0.525886372571435
"K00101",145.696127391755,0.424338822259339,0.197898764734047,2.14422168238191,0.032015128562257,0.219231406948974
"K00102",23.5397698372378,-0.655771942004617,0.36641478235955,-1.7896983789293,0.0735024131577447,0.342271441534564
"K00103",64.8817488783668,-0.210364284812265,0.233316401666866,-0.901626646516806,0.367255231126262,0.707193238128849
"K00106",366.812948310452,0.0178889563924859,0.247866876437035,0.072171629584521,0.942465322592063,0.98298031767845
"K00107",71.5797324317792,0.457366024294178,0.308025533921046,1.48483152832197,0.137588457793735,0.464818577988323
"K00108",139.727954308937,1.90299875573759,0.472910514594136,4.02401447421993,5.72143984342277e-05,0.0057191512674854
"K00111",8.55073252405058,3.95247451182578,1.18875945015321,3.324873262893,0.000884587360344178,0.0296722659530215
"K00114",39.207278619565,3.24419183655247,0.483013961974955,6.71655913068758,1.86065824688251e-11,3.09985663930626e-08
"K00118",58.7087229292324,0.924760208390645,0.276803573056069,3.34085358140708,0.000835212566260156,0.0285917288093716
"K00121",829.215690662536,0.120570051948779,0.182780824698821,0.65964278335788,0.509483092143698,0.799758831829262
"K00123",9.15882678785836,3.40633654500257,1.40833327989389,2.41870059710526,0.0155760547494673,0.152652496364917
"K00128",2034.93376722775,0.112957309763813,0.121488280994233,0.929779472056027,0.352485276988527,0.697146244466597
"K00130",58.2180451902223,-1.24237292061554,0.372087018083977,-3.33893111082727,0.000841014180334463,0.0285944821313717
"K00134",7110.14096898502,-0.0822225867693278,0.150166867000697,-0.547541467778948,0.584006789511187,0.838754578728998
"K00135",50.365763195154,-0.111681758481893,0.303310087470433,-0.368209839024163,0.712716774451305,0.899601721117493
"K00138",48.7859187755913,5.60161707748729,0.683572243714434,8.19462336131278,2.51379042327425e-16,6.28196226776234e-13
"K00140",28.2231850181562,-0.135844570796145,0.453903170019217,-0.299280947498987,0.764725690461629,0.920322417752763
"K00142",53.1407286535581,-0.580846235326702,0.36682217397722,-1.58345453610112,0.113317901225155,0.42360723285215
"K00145",114.671169601204,-0.0219988305584091,0.204076529459756,-0.107796965269087,0.914156750228037,0.972325055892686
"K00147",129.344340650378,0.267193988944701,0.292128670757444,0.914644866085581,0.360378096990242,0.701663314669743
"K00157",284.978996849132,-0.338136169395278,0.294938748948661,-1.14646234379375,0.251603899576479,0.603414726527466
"K00161",894.046792667264,-0.133501554255975,0.160531696059221,-0.831621153536716,0.405622818119018,0.739621614359304
"K00162",412.683852089131,0.0848556345446527,0.201906866245531,0.42027116820021,0.674287369736018,0.885705644204776
"K00164",1069.95357327472,-0.164588041480141,0.134291262850755,-1.2256049871469,0.220347360195273,0.568946981554975
"K00166",554.549736876607,0.255588960147232,0.276678644390583,0.923775525610934,0.355603200263296,0.697771057491617
"K00167",336.792374605563,0.304130931726552,0.170309503632984,1.78575431927717,0.0741390460367991,0.343115152975404
"K00181",11.0355803456124,0.333726587858332,0.51184602372155,0.652005822829022,0.51439741607325,0.801886696138972
"K00208",334.561553708017,0.564969273396182,0.180368588650892,3.1323041202573,0.00173440116867189,0.0446279196668836
"K00211",160.491938463563,0.848308100836288,0.22574357673576,3.75783937289724,0.000171386836156903,0.0105752025569408
"K00213",187.432307399196,-0.0236982625471614,0.153960166388985,-0.153924635852153,0.877669158986887,0.965957406983817
"K00215",171.610661039919,-0.143415793071204,0.22761389294279,-0.630083652702393,0.528639854558453,0.810224468900076
"K00218",1850.8939850563,0.130607673454501,0.206894766455038,0.631275868850383,0.527860162305172,0.809774429466313
"K00219",195.353462311432,1.414358835321,0.286760379419679,4.93219753085576,8.13096284644005e-07,0.000230770706721851
"K00222",94.0382175532257,-0.0768184045726825,0.232775272102704,-0.330011018261377,0.741391636720624,0.911556064041741
"K00225",144.228252626139,0.363341247167685,0.289732826305378,1.25405619998586,0.209821578957275,0.557385569884773
"K00226",20.6366311352203,-0.663922897385981,0.399174767501831,-1.66323863990961,0.0962646758275969,0.391163292509211
"K00227",458.557844627989,0.877251531152233,0.406179854002527,2.15976130403251,0.0307911526730092,0.215400222424043
"K00228",315.224685026316,-0.22551965267666,0.198414378659277,-1.13660942417852,0.255701598611013,0.606547978100543
"K00231",56.0244760715864,0.697786704252964,0.320435878836038,2.17761727178501,0.0294345425806355,0.209779256749788
"K00232",353.076640234892,0.541655535461119,0.250185009703017,2.16501994305771,0.0303861580420093,0.213751408538292
"K00234",1024.92477429763,-0.154427903885576,0.18292833432376,-0.844198928812518,0.398558253037897,0.735867805202589
"K00235",777.037160561262,-0.0235546211029104,0.261656838443518,-0.0900210414641808,0.928270494042651,0.97882462482007
"K00236",1318.65274502029,-0.200378570523309,0.18495604818734,-1.08338479593999,0.27863766135541,0.630149787988389
"K00248",486.235164993796,-0.295775058089564,0.158154896934626,-1.87016060724205,0.0614615182225353,0.309038901485142
"K00249",284.957048042325,-0.108395282156239,0.282347712218281,-0.383907067298775,0.701047328064393,0.892696699532697
"K00252",1561.93288555045,-0.534950039105208,0.136705201303472,-3.91316521979052,9.10941616190272e-05,0.00689831242078633
"K00253",292.774240867404,-0.105092760625976,0.198532763655152,-0.529347190313231,0.596564625159909,0.845023215677675
"K00254",27.221473249705,-0.0643876014799279,0.362241567958718,-0.177747688766811,0.858921131318371,0.959090217678557
"K00255",3611.58812954824,0.0937231658982141,0.150883043243147,0.621164339502217,0.534491499954016,0.811974788431654
"K00264",2533.72999125777,0.115064336682679,0.181221717133103,0.634936797327478,0.525469636615094,0.808637583505075
"K00265",111.79577467022,0.608445800328402,0.28323837681602,2.14817570686625,0.0316997998031982,0.219231406948974
"K00266",1450.89250402229,0.231363344180609,0.140560825872081,1.64600159927322,0.0997634297526652,0.39857523733319
"K00272",11.002996875479,-0.632256292079136,0.547773936708369,-1.15422850506256,0.248406499002205,0.600065578546652
"K00273",11.002996875479,-0.632256292079136,0.547773936708369,-1.15422850506256,0.248406499002205,0.600065578546652
"K00274",763.95299124902,0.385952085818452,0.190909135193623,2.02165331390252,0.0432121801179582,0.255588185157348
"K00275",205.158032282986,0.447805395800145,0.186606014224281,2.39973720923019,0.0164068457132534,0.157998872591215
"K00276",1092.13359675285,-0.633376672035069,0.312241690370068,-2.02848207516553,0.0425110709142069,0.253847470046841
"K00281",791.507096763159,0.073664089678214,0.109148746395962,0.674896342015515,0.499741624727694,0.796526605374325
"K00284",480.192213060389,0.535076674906004,0.197097168655685,2.71478620700405,0.00663185679607813,0.0955216722386124
"K00285",45.9580361430774,0.507737288339902,0.326535168672118,1.55492374804422,0.119964230727779,0.434723725687068
"K00286",218.068237662151,0.0400025366528807,0.141382401754581,0.282938584692593,0.777223916233957,0.925690716284088
"K00287",1044.63838768027,-0.465771666910854,0.393458179576268,-1.18378951331616,0.236496394402666,0.586023291633379
"K00288",16.5450240368243,-0.254871455728392,0.580389817977355,-0.439138399458166,0.660561256767154,0.87799640172848
"K00293",157.628296381287,-0.0278585699015528,0.247255073227447,-0.112671378337811,0.910291093500725,0.971154549709027
"K00294",519.679681310391,-0.169216829598385,0.145895415241784,-1.15985022091306,0.246109792873672,0.597695211264633
"K00295",431.623792046948,0.240697873230058,0.139404988284075,1.72660875477118,0.0842379525646559,0.366827060710728
"K00297",205.464820539843,1.06296393224577,0.473661974424368,2.24414031448813,0.0248233748006345,0.194424104793146
"K00306",531.731901340705,0.185093816778756,0.183425750474567,1.00909395927166,0.31292957476214,0.663750280098723
"K00308",21.48606786614,-0.499098548509442,0.409974801732694,-1.21738835265016,0.223456492454204,0.572736179121084
"K00311",550.098775104724,0.615051242177446,0.154373395293328,3.98417901613665,6.77138146300815e-05,0.00592104994688254
"K00314",153.289277528229,0.0979050222362404,0.24971330683439,0.392069703763008,0.695006711974857,0.891815282459809
"K00315",21.1482287325126,-0.245975817555492,0.492692629073444,-0.499248015985287,0.617604671953199,0.856965061194362
"K00318",27.530593789733,-0.181859769127478,0.30820109530789,-0.590068536082917,0.555144702036675,0.823070596309554
"K00322",103.397707903537,1.46125905137524,0.421522410093387,3.46662245324396,0.000527041607456698,0.020905983762449
"K00323",1350.11598493423,-0.339241105146732,0.288678805971022,-1.17515071466932,0.239934424001984,0.589283661504626
"K00326",700.427789296821,0.197944902402885,0.105696197912183,1.872772212368,0.0610998467016359,0.308773542785416
"K00327",564.463678114948,0.294862250227449,0.374918860081699,0.786469504796838,0.43159247792014,0.758442575001451
"K00344",295.932978932895,0.769867183869481,0.251093045151394,3.06606335275156,0.00216897352536021,0.0495001355239741
"K00354",58.1941883439273,-0.367917317147696,0.277977084563866,-1.32355268681569,0.185651647329333,0.534497081423967
