"ko_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K00001",159.288488045314,-0.311154322313671,0.278939721693979,-1.11548946999751,0.264640728337786,0.46014284572976
"K00002",448.989551136875,-0.446605439996801,0.204384024671277,-2.1851289048403,0.0288793964485938,0.0992558104053787
"K00003",145.884240806313,0.534602072446062,0.167580029275838,3.19012996212158,0.00142208826904451,0.00960011450392226
"K00006",715.386675413891,0.76346949365629,0.532064104297774,1.43492012990414,0.151309858743926,0.325706740247319
"K00010",283.926224013313,-0.113573544730089,0.235152444086213,-0.482978372482703,0.629111092675016,0.774189466880301
"K00011",144.404050182083,-0.0744113083772627,0.19195511366673,-0.387649523661321,0.698275414549625,0.817612707947572
"K00012",947.998477691416,0.0579003448621309,0.20777616045087,0.278666930491393,0.780500443187044,0.869026013302776
"K00018",84.3839307454112,-0.0281454925833374,0.239463484670018,-0.117535634387523,0.906435607570417,0.94980063524085
"K00019",85.2329646939591,-0.129513875726895,0.358418923189844,-0.361347761926887,0.71783949338355,0.830459045623198
"K00020",154.95618333698,0.460581013824891,0.23980915760392,1.92061478563553,0.0547802897328359,0.159928578203917
"K00021",239.026871333981,0.146966408332646,0.353877799551808,0.415302707654397,0.677920319328941,0.80350487898572
"K00024",662.580833459068,0.677512421887112,0.145386925383499,4.66006430839623,3.1611060583651e-06,5.13625232655736e-05
"K00025",9.2507371172107,-0.329155524146114,0.520111296681528,-0.632855941115351,0.526827721705017,0.703460705424504
"K00026",3840.26090377532,0.513519812215711,0.245788199194577,2.08927773545867,0.0366827293869648,0.118308706961929
"K00028",105.650676461725,0.687189338049108,0.234215872543059,2.93399986340709,0.00334624355663601,0.0189741271225859
"K00029",105.650676461725,0.687189338049108,0.234215872543059,2.93399986340709,0.00334624355663601,0.0189741271225859
"K00030",14.9444439864223,0.320439775050926,0.43060600050436,0.744160031851859,0.456779664748072,0.650723004083679
"K00031",402.4027727523,0.217623392312898,0.219403222482478,0.991887857664797,0.321252232936454,0.522738318638448
"K00033",91.5524253102833,0.680820033349723,0.306872011169916,2.21857976149135,0.0265153276833985,0.0937286001831762
