"orfs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NODE_10000_length_2085_cov_180.263917_g1941_i2.p2",125.016323935586,-0.19298703612129,0.283394190893857,0.325964889212284,0.78171859504181
"NODE_10001_length_2085_cov_103.520378_g2866_i7.p1",8.07600282240401,-0.0217566264262199,0.617650122919516,0.829885913686317,0.97763941213501
"NODE_10002_length_2085_cov_50.039761_g2374_i1.p2",47.8899230223162,-0.164141308411156,0.293576379140919,0.405228251678941,0.833493205281315
"NODE_10005_length_2085_cov_13.522366_g594_i1.p1",9.0219429052197,0.577078039265398,0.501802154642128,0.0228616728339458,0.204574870230931
"NODE_10006_length_2084_cov_1005.443560_g5031_i0.p1",1139.81781481021,0.589554329870367,0.153750786822644,1.66199617717328e-05,0.000720231517018146
"NODE_10007_length_2084_cov_428.342616_g98_i17.p4",6.83599439409494,-0.0314389524553433,0.347479901199248,0.870289135754311,0.985747280845079
"NODE_10007_length_2084_cov_428.342616_g98_i17.p1",390.146075866295,-0.627338719838218,0.406937222598474,0.010910771515225,0.125123363723423
"NODE_10008_length_2084_cov_361.511188_g5032_i0.p1",394.699204271151,-1.16515642381752,0.443679820811669,0.000117680213027848,0.00374786623570878
"NODE_10009_length_2084_cov_47.720040_g5033_i0.p1",40.9529628583655,-0.00090320669128566,0.27303610201907,0.996242260409321,0.99934298857208
"NODE_1000_length_4154_cov_49.068121_g488_i0.p1",54.0943991002451,-0.440385188421767,0.269723982936939,0.0267593408325372,0.226765046375963
"NODE_10010_length_2084_cov_46.421183_g503_i7.p1",12.5935866965329,-0.695228714220031,0.526762626004475,0.0105167298867534,0.122166250706958
"NODE_10011_length_2084_cov_35.100448_g167_i12.p1",7.86135443126914,-0.127249805866476,0.490604392147637,0.421119845156338,0.841425819822313
"NODE_10013_length_2084_cov_29.915962_g468_i4.p1",14.5131545110147,-0.0154527187776916,0.475016225447239,0.915920014442649,0.991885974610714
"NODE_10014_length_2084_cov_18.374441_g4595_i1.p1",8.97617713069135,0.0868449230314774,0.434230508251319,0.615980384687144,0.924512062985944
"NODE_10015_length_2084_cov_11.131775_g4590_i1.p1",9.23428417259294,-0.217601390674591,0.376011498933412,0.284438242047534,0.748121378739519
"NODE_10016_length_2084_cov_10.377921_g5035_i0.p1",7.8261537078779,-0.000910837912890453,0.428703733992551,0.995704905952013,0.99934298857208
"NODE_10018_length_2084_cov_6.629538_g5037_i0.p2",8.74619121597899,-5.486832472361,2.25728410090206,3.36777703546656e-05,0.00130334772222842
"NODE_10019_length_2083_cov_306.238806_g4637_i1.p1",305.210670601194,0.397329312375625,0.189674905714785,0.0137461552494889,0.146349283619788
"NODE_10020_length_2083_cov_118.439303_g2371_i2.p2",23.0878379747858,0.00172605029710145,0.340114329016083,0.992868496299949,0.998832360086405
"NODE_10022_length_2083_cov_34.086070_g5038_i0.p3",7.99917436227842,0.743001588913233,0.624766458470668,0.00902473300891357,0.109768055101693
"NODE_10024_length_2083_cov_23.031841_g5039_i0.p1",2.09762034061873,0.895587588916336,1.63821977033017,0.00822626119556541,0.101984500680611
"NODE_10025_length_2083_cov_15.773632_g5040_i0.p2",2.66469596759912,0.293840834639195,0.49182531665101,0.144235593178988,0.565686485753334
"NODE_10026_length_2083_cov_15.349254_g4273_i1.p1",7.55157896375152,0.016769941389304,0.48051116846189,0.906966214731384,0.99035584557678
"NODE_10027_length_2083_cov_15.128358_g5041_i0.p1",23.1956680998912,-1.29631038978641,0.420405780159478,2.3075629177645e-05,0.000950203859792983
"NODE_10029_length_2083_cov_12.040299_g5042_i0.p2",14.5027809373714,-0.0233253630641717,0.315055421717307,0.904691220810486,0.99035584557678
"NODE_1002_length_4153_cov_7.554167_g490_i0.p1",13.5287642335125,-0.016054195444057,0.449076527300408,0.920040890871218,0.992087125787774
"NODE_10030_length_2083_cov_5.586567_g5043_i0.p1",9.84187413775747,-2.59186013215747,1.64995665488334,0.000151710112662219,0.00458903274957777
"NODE_10031_length_2083_cov_3.540796_g5044_i0.p1",5.35221456220571,-0.180348051614185,0.40444546298197,0.355723056349256,0.802852924483199
"NODE_10032_length_2082_cov_198.597312_g3101_i1.p1",4.03926306029721,0.320020340338666,0.569218271011877,0.100152279160369,0.477943979085783
"NODE_10034_length_2082_cov_106.566451_g1228_i7.p3",26.798252824871,0.0517665330440694,0.26437013627068,0.785695521714684,0.968965972848286
"NODE_10035_length_2082_cov_60.567944_g3421_i3.p1",7.96441066337036,-0.392578921086999,0.431180191693427,0.0807446430523678,0.428486879391374
"NODE_10036_length_2082_cov_58.716775_g5045_i0.p1",34.3611791065258,0.298433884227124,0.392112458770646,0.15978502958173,0.592931295517488
"NODE_10037_length_2082_cov_27.065207_g5046_i0.p1",31.638821283833,-0.154433270841253,0.259317645218355,0.417180529669366,0.839575434370781
"NODE_10038_length_2082_cov_12.358885_g5047_i0.p1",10.8919126859399,0.474811148332802,0.695227211492672,0.0348488391652029,0.264708526936314
"NODE_10039_length_2082_cov_4.493778_g5048_i0.p1",8.06550724908518,-0.3027640886319,0.414210077295404,0.153842886597746,0.583604996737196
"NODE_1003_length_4152_cov_22.397892_g66_i3.p1",22.80746140183,-0.0491275946113841,0.403439657735421,0.78553444076806,0.968965972848286
"NODE_10040_length_2081_cov_962.763446_g4221_i1.p1",36.4125386181711,-0.855946445938019,0.465806594164949,0.00222491113434517,0.0396349092412456
"NODE_10041_length_2081_cov_847.981076_g5049_i0.p4",193.139718447689,-0.25879132938742,0.326509477109274,0.208002238746717,0.661167103024043
"NODE_10042_length_2081_cov_476.592629_g5050_i0.p1",14.1458048310173,-0.0699057596699475,0.323733637891195,0.720663763838532,0.953917618333237
"NODE_10043_length_2081_cov_320.964143_g4280_i1.p2",64.624016661044,0.00880394196445883,0.273492616966773,0.96339951248529,0.996261213228269
"NODE_10043_length_2081_cov_320.964143_g4280_i1.p1",209.567987790815,4.86223993385204,0.41848149589587,1.62805054508506e-31,2.14221850814192e-28
"NODE_10044_length_2081_cov_319.786853_g1542_i4.p2",13.4929298385367,-0.334871464579757,0.477053589302943,0.115185065179865,0.510337381987644
"NODE_10044_length_2081_cov_319.786853_g1542_i4.p1",167.94716993336,-0.675683358805398,0.49778233706218,0.0111526385183791,0.127111688056488
"NODE_10045_length_2081_cov_267.892430_g4607_i1.p2",7.66640494216885,-0.0382124920695247,0.334205377018686,0.843917718914732,0.980642797113677
"NODE_10046_length_2081_cov_122.919821_g5051_i0.p1",105.377074539024,-0.327249697366848,0.236457175994819,0.0762808107433732,0.416045495555271
"NODE_10047_length_2081_cov_60.052291_g5052_i0.p4",8.18955785001011,-0.309460352547654,0.393527929459978,0.147438467404474,0.572034711931471
"NODE_10047_length_2081_cov_60.052291_g5052_i0.p1",37.26288547803,-1.00846199674074,0.366071383314701,0.000116845209373947,0.00373337209818654
"NODE_10048_length_2081_cov_26.003984_g5053_i0.p2",19.9744945490103,0.0585104093698735,0.387409416352126,0.752787943027536,0.961926621121247
"NODE_1004_length_4152_cov_16.809267_g491_i0.p1",35.9249303255442,0.72153623135681,0.337518564026761,0.00192635731396276,0.0355185933277669
"NODE_10050_length_2081_cov_22.131972_g5054_i0.p1",19.8864474409588,0.315038862363189,0.340818640736368,0.135273155909272,0.548503926983618
"NODE_10051_length_2081_cov_17.221116_g369_i17.p1",5.7483056447862,0.00169487385860758,0.376331673364939,0.992761340505759,0.998832360086405
"NODE_10052_length_2081_cov_16.411853_g4325_i1.p1",2.64718603254737,0.157624224445176,0.51157676763415,0.322063111671294,0.779131117889072
"NODE_10054_length_2081_cov_16.066733_g5056_i0.p1",15.2848851000111,-1.27024365811989,0.577578093104341,0.000253744754010251,0.00700229088568994
"NODE_10055_length_2081_cov_10.077191_g5057_i0.p1",13.242850128378,-0.374714022098056,0.353898736215467,0.0842235037067194,0.436493629102911
"NODE_10056_length_2081_cov_9.783367_g5058_i0.p1",8.81275996925657,0.109845842101096,0.343683085557061,0.575510863690642,0.909586613865496
"NODE_10057_length_2081_cov_9.556275_g5059_i0.p1",16.1443593997623,-0.199452901314435,0.388785883059045,0.318828707746918,0.776332340930221
"NODE_10058_length_2080_cov_995.921276_g5060_i0.p1",660.788983956148,-1.08011231942488,0.325406472551592,1.50660143054487e-05,0.000664833814198369
"NODE_10059_length_2080_cov_99.162930_g5061_i0.p1",11.4730085742162,0.192128913350787,0.529858094299462,0.242173387757923,0.702941464836695
"NODE_1005_length_4151_cov_69.947523_g136_i4.p1",22.16037887124,-0.0548362409924026,0.444221681080372,0.739673297849548,0.958595106568918
"NODE_1005_length_4151_cov_69.947523_g136_i4.p2",15.213249537205,-0.0244680474250133,0.619986022199062,0.809042905941631,0.973447526547169
"NODE_10060_length_2080_cov_82.689088_g5062_i0.p7",33.6298896084405,-0.00193373237963078,0.267827665666341,0.991917079464143,0.998703033674035
"NODE_10061_length_2080_cov_63.605381_g3988_i2.p1",51.6565497276804,-0.228132419414661,0.225503629097523,0.203665908664718,0.655881713652939
"NODE_10062_length_2080_cov_62.547583_g4102_i1.p5",416.959810696165,-0.0337765030087807,0.474091925870426,NA,NA
"NODE_10062_length_2080_cov_62.547583_g4102_i1.p1",41.1364762536991,0.0910242019331515,0.284740042107047,0.639280704163148,0.932137858323541
"NODE_10063_length_2080_cov_59.955157_g1175_i5.p1",55.6000384081134,-2.9597437273164,0.49355555508521,7.62403405486525e-13,1.31369367750142e-10
"NODE_10064_length_2080_cov_57.565521_g5063_i0.p1",56.1450436253971,-0.499420552548773,0.338577210595858,0.0243819093654228,0.213170496016387
"NODE_10065_length_2080_cov_51.663179_g5064_i0.p4",46.1221240649709,0.809690062868324,0.388721207831382,0.00151207994232622,0.0295554964013906
"NODE_10065_length_2080_cov_51.663179_g5064_i0.p2",6.06404560811036,-0.104287682614945,0.354361804704731,0.592474741042738,0.916330544622812
"NODE_10066_length_2080_cov_50.474340_g5065_i0.p1",59.8512606682297,0.176300003415293,0.232152765694949,0.332336701110127,0.787077280010776
"NODE_10067_length_2080_cov_46.974091_g2180_i2.p3",10.6367235285373,-0.109667132223957,0.335904483851058,0.577032608421324,0.910120085663527
"NODE_10067_length_2080_cov_46.974091_g2180_i2.p1",35.0147927303277,-0.163188523766171,0.292573857069637,0.407566839749938,0.833579067661385
"NODE_10069_length_2080_cov_31.311410_g4476_i2.p1",13.5650413696708,0.0085411876317022,0.368461074482846,0.963880809426615,0.996261213228269
"NODE_1006_length_4149_cov_114.425172_g492_i0.p1",47.8990329462696,-0.18665544482238,0.516987532910685,0.261099669392613,0.72327995738099
"NODE_1006_length_4149_cov_114.425172_g492_i0.p2",5.65046816880921,-0.0386448988954036,0.463809906354899,0.801714014146364,0.971636517211199
"NODE_10072_length_2080_cov_24.778276_g3244_i1.p1",20.6921445116906,-0.583698072058698,0.523567444456899,0.0223562699641644,0.201547587331869
"NODE_10073_length_2080_cov_22.611360_g5066_i0.p1",17.3619172675826,-0.427736727076053,0.375003194237241,0.0564558695144122,0.352520386260398
"NODE_10075_length_2080_cov_12.410065_g5067_i0.p1",17.0311043077726,0.154914010411545,0.333175249544856,0.436978907673831,0.849997676343372
"NODE_10076_length_2080_cov_12.154958_g5068_i0.p2",8.66232486049666,0.0160006497518455,0.323824167354278,0.93442397490681,0.993240661017447
"NODE_10077_length_2080_cov_10.047334_g5069_i0.p2",5.1326396288644,-0.00872842526031292,0.47039304730319,0.95316714445867,0.995184533409214
"NODE_10078_length_2080_cov_9.786746_g5070_i0.p1",5.4291312664328,-0.0551815479567652,0.429864835015869,0.74733482786154,0.961267536175158
"NODE_10079_length_2080_cov_3.264574_g5071_i0.p1",3.23715440407921,-0.14523079975571,0.427676293663308,0.431029622993303,0.847531871438647
"NODE_1007_length_4149_cov_70.074338_g116_i4.p1",38.6149860280915,-0.0815434390500279,0.546431470975073,0.520801154453122,0.892098733819406
"NODE_10080_length_2079_cov_108.481555_g2659_i2.p1",47.7871594845617,0.0582084363461132,0.224787603331852,0.744418692604701,0.960572269116667
"NODE_10083_length_2079_cov_16.267697_g3899_i1.p1",6.20519675244157,-0.0871128492833347,0.532940301476783,0.510576024068985,0.888598375295784
"NODE_10084_length_2079_cov_13.014955_g5072_i0.p1",16.0478128183305,-0.106268504420039,0.296431670852413,0.587295803124049,0.914877099627558
"NODE_10085_length_2079_cov_7.891825_g5073_i0.p2",6.45133391507322,0.00933884702784518,0.373582648488809,0.960275501406034,0.996098528968863
"NODE_10086_length_2078_cov_510.613466_g5074_i0.p3",99.4278336165308,-0.104763485146175,0.224793743145696,0.557633283719767,0.905076664997199
"NODE_10087_length_2078_cov_231.998504_g5075_i0.p1",30.7952550332538,-0.242360879052401,0.393264659076582,0.237524263504958,0.698056079181881
"NODE_10088_length_2078_cov_135.560100_g3775_i1.p1",85.2092089324776,-0.664557867196384,0.370095656025734,0.00560532198141814,0.0773785697272734
"NODE_1008_length_4148_cov_453.725644_g343_i1.p1",307.45946745047,1.06050609720929,0.256616981262354,6.00956030757336e-07,3.6394299536325e-05
"NODE_10090_length_2078_cov_58.338653_g5076_i0.p1",7.3993008907155,0.255523816404117,0.463639344879254,0.196335857811974,0.645242538559236
"NODE_10091_length_2078_cov_51.701247_g4644_i1.p1",11.4862318647118,-0.436789360732647,0.481687001720573,0.0590236785598043,0.362071931966352
"NODE_10092_length_2078_cov_43.915711_g4178_i1.p1",43.9112425420399,-0.183269846644693,0.283331462999733,0.350213904401418,0.8000940813363
"NODE_10093_length_2078_cov_38.058354_g123_i6.p1",11.8798858479184,0.182959127529405,0.417917091443276,0.343400857656335,0.794244808839532
"NODE_10094_length_2078_cov_36.262344_g5077_i0.p1",31.8059386414348,0.448022202287756,0.37172953014932,0.0468458793014331,0.317363565180876
"NODE_10095_length_2078_cov_30.126185_g397_i3.p1",23.2782124950663,-0.0112337446569388,0.316939929676737,0.953985861722007,0.99537542681109
"NODE_10097_length_2078_cov_27.162594_g345_i2.p1",4.35913397661141,-0.0834027756887438,0.448881685553215,0.616729597140326,0.924696765530047
"NODE_10098_length_2078_cov_26.875312_g105_i7.p1",7.05150023109691,-0.095151676755022,0.363002420241705,0.622206687625899,0.926849228644134
"NODE_10099_length_2078_cov_25.341147_g4428_i1.p1",21.0954267268557,-0.256469180069266,0.322292752137877,0.210756634667091,0.664643104946713
"NODE_1009_length_4148_cov_39.974724_g418_i3.p1",28.9361992247688,-0.584054005925741,0.446556827933485,0.0191278258886233,0.182202140119732
"NODE_100_length_6583_cov_20.589094_g45_i1.p1",33.5873558383023,-1.13623623922713,0.357641566033735,2.2671700925006e-05,0.000934900852388992
"NODE_100_length_6583_cov_20.589094_g45_i1.p2",24.7358048774827,-0.168353293584394,0.294495801170898,0.393910726643875,0.828045934314889
"NODE_10101_length_2078_cov_16.959601_g5079_i0.p3",8.77611313197101,-0.0031870417326521,0.334946254976089,0.986867782488719,0.997759449828284
"NODE_10101_length_2078_cov_16.959601_g5079_i0.p2",6.7497546056384,-0.120278593055494,0.356277129693334,0.538874226046677,0.898944553729229
"NODE_10102_length_2078_cov_13.612469_g4254_i1.p2",10.6479676964063,0.190044809274471,0.409629784691362,0.331745412740001,0.786709773736181
"NODE_10103_length_2078_cov_11.957107_g5080_i0.p1",2.5349979562909,-0.141034712874432,0.470291606119664,0.404771626742074,0.833493205281315
"NODE_10103_length_2078_cov_11.957107_g5080_i0.p2",5.81515096180269,-0.235908989573249,0.394600252230288,0.24805879725397,0.709005337964842
