"Contrast","Organism","number_de","percent_de"
"Add_Back","C. closterium UGA4",207,6.56725888324873
"High_Iron","C. closterium UGA8",292,9.62108731466227
"Add_Back","C. closterium UGA8",828,27.2817133443163
"High_Iron","G. oceanica",1382,27.6289484206318
"Add_Back","G. oceanica",1289,25.7696921231507
"High_Iron","G. huxleyi",1682,36.1642657493012
"Add_Back","G. huxleyi",1507,32.401634057192
