"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K00001",55.5132226978,-2.02783887459056,0.705983717468751,-2.87235926893784,0.00407419496971065,0.0442612363913727
"K00002",77.5280960829171,1.27756000826736,0.332086530023872,3.84706964228729,0.000119538998758713,0.0039256649317267
"K00003",26.0409688624664,-0.852733106946293,0.482144235556162,-1.76862657284008,0.0769562132226247,0.273154572234636
"K00006",69.9767177431756,0.168994556098261,0.369073509542434,0.457888609528697,0.647032470657786,0.821410183352255
"K00012",91.9033777093601,-0.525806082264735,0.330789004098725,-1.58955127210881,0.111935988169077,0.342359213057995
"K00020",74.0661431840181,-1.08127090638258,0.374749189490027,-2.88531886581,0.00391017399380564,0.0432545159679741
"K00021",45.3018019979806,0.609057493644713,0.418699391137754,1.45464146004533,0.145768546754155,0.391854870523726
"K00022",39.2579487909109,-1.32899738568091,0.443132781534825,-2.99909517205615,0.00270782707783544,0.0344010062922243
"K00026",45.4418253777107,0.167015716327938,0.525984146061568,0.317529943779691,0.75084152227127,0.874422103123425
"K00029",31.5349483189481,-1.08821721034731,0.424711395207893,-2.56225103123178,0.0103996120276064,0.0854233714245934
"K00031",6.85717040811857,-1.89157990559836,1.3303749160963,-1.42183972556308,0.155072784242008,0.398326787319938
"K00033",175.233818523718,0.502691848003546,0.471746657666722,1.06559705264237,0.286605832130064,0.545324718886518
"K00036",112.67608751189,0.72863965959525,0.387663483797918,1.87956743425201,0.0601670550433857,0.23964039925953
"K00040",63.8883275339403,-2.62154512244492,0.884870518378443,-2.96263133192526,0.00305021656657267,0.0366648944781005
"K00045",63.8883275339403,-2.62154512244492,0.884870518378443,-2.96263133192526,0.00305021656657267,0.0366648944781005
"K00053",116.057308939173,-2.29335948406449,0.420687335842407,-5.45145833656283,4.99584269940901e-08,7.57119961095436e-06
"K00058",35.2579274732989,-0.5851106865079,0.458732510245145,-1.2754942661361,0.202134352352699,0.450151805558281
"K00059",61.204389271065,-0.986232112375581,0.490418296103464,-2.01100187373008,0.0443252588034368,0.20142407711127
"K00066",7.68861421585442,-2.67383760206063,1.08821487953952,-2.45708605196805,0.0140069130691771,0.103046003671543
"K00077",3.9540819677867,0.448890888205512,1.20916255586832,0.371241142083793,0.710457932146782,0.850566403540088
"K00078",3.70185898139469,-2.83240281722909,1.56540559403073,-1.80937312861902,0.07039305490393,0.261793066765413
"K00088",99.9137832191787,-0.590069439521991,0.43361650050824,-1.36080946834443,0.17357390895025,0.424961646226338
"K00099",104.972501990978,-3.90009453765319,0.846076131707479,-4.60962600349256,4.03393986244252e-06,0.000230695692887986
"K00101",11.1136710404226,0.274837370889135,0.62686796438124,0.438429440496959,0.661075008741312,0.824358688903154
"K00102",5.64800456348893,-0.48859078001697,1.00528814915428,-0.486020630431193,0.626952538887322,0.812785776461708
"K00106",70.9707644791777,-1.74289163262472,0.425627310465248,-4.09487734872931,4.22391937301641e-05,0.00174081116257238
"K00111",39.0104705301838,-0.147021226308153,0.382984011401214,-0.383883457093288,0.7010648280475,0.847259766272716
"K00114",50.33812765628,-1.41471999321353,1.10736038667982,-1.27756059385081,0.201404402468874,0.449211408858222
"K00118",7.49458288584988,0.77911787278424,0.704186961961179,1.10640769407939,0.268550096773043,0.530848605618076
"K00121",144.197468176792,0.447399094752797,0.280545720567667,1.59474574713709,0.110769103524165,0.340455149962837
"K00122",33.2880258292632,1.32189658026598,0.52591081495291,2.51353754796684,0.0119527053487649,0.0931327761236672
"K00123",14.3742060373458,-1.33632277818781,0.894660363826735,-1.49366489476739,0.135263228437829,0.379262576683682
"K00128",28.8270453344399,0.207331625953963,0.905589201171256,0.228946663327928,0.818910371535022,0.907163098572879
"K00130",13.7432947096754,-0.271033443598793,0.679149181965873,-0.399077921016199,0.689835790257634,0.842083077032174
"K00134",1556.88398042494,-3.56813988756211,0.678436462282307,-5.2593574873005,1.44559613210178e-07,1.99163721654568e-05
"K00135",9.97884736077608,0.135578703342626,0.643739754672597,0.21061104640272,0.833190791871121,0.915267459151554
"K00138",29.107639179083,0.00437054181989799,0.90604383734188,0.00482376419304405,0.996151207951487,0.998127045058168
"K00142",11.3316412855176,0.102047687425419,0.806438121013613,0.126541249435425,0.899303499128755,0.950167370679677
"K00143",58.8339086955972,0.598525655408433,0.545954752713907,1.09629168430753,0.272951147355976,0.535132553451464
"K00145",10.9923205749399,-1.59801690430089,0.720733267558208,-2.21720985589421,0.0266087544021046,0.152459611706577
"K00161",91.1883139633816,-0.798738025496868,0.407102758108465,-1.96200592992312,0.0497617938698158,0.216228079985329
"K00162",76.994195014173,0.759932113608562,0.330152773000298,2.30175899085323,0.0213487674064851,0.132735629656411
"K00163",7.44911338135425,-6.25455916089948,1.51280818269952,-4.13440331195099,3.55878037552358e-05,0.001498147683085
"K00164",167.426469496452,0.0790879490012688,0.26140188391124,0.302553094942971,0.76223046473959,0.88045752234211
"K00208",40.2368856598718,-1.47049317915435,0.578233431740503,-2.54307879557934,0.0109880446903254,0.0878753653202539
"K00211",64.652832652829,-0.644254522535193,0.32249850406338,-1.99769770841659,0.0457494428143123,0.205431942474342
"K00213",8.74289554861095,-1.05762939969191,0.843428683722513,-1.2539642297011,0.209855007274811,0.459920843853905
"K00215",18.1971736914516,0.229231716401903,0.746605740317644,0.307031816155574,0.758819155254532,0.87887575345364
"K00218",357.098608897019,-3.86899864561718,0.809221543246058,-4.78113648593355,1.74306964854991e-06,0.000144350050044967
"K00219",11.1496214554139,1.01961751847019,1.0187078286116,1.00089298406573,0.316878548812576,0.571701715149357
"K00225",5.61126485157115,-2.23125903701593,1.0743183700034,-2.0769067152867,0.037810169848839,0.182488256069795
"K00226",9.67208073319877,-0.36421680025514,0.719461928429399,-0.506234987374847,0.612691696271498,0.803721747517988
"K00227",11.7825247856049,-0.916100702412717,0.702556895038458,-1.30395233308837,0.192249835237887,0.438494069377498
"K00228",96.9579392490888,-4.32652948129029,0.873642124749507,-4.95229037007665,7.33450501723444e-07,7.41029490241253e-05
"K00231",33.2710436035652,-4.50257628314355,0.952126157782824,-4.72897025918131,2.25661433219445e-06,0.000170994951022035
"K00232",84.0019943180382,-0.569224505902328,0.363968757106897,-1.56393782374883,0.117832170767962,0.349461163989914
