"ko_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K00001",8.09726912256366,-0.841626130141145,0.628338883506197,-1.33944620050375,0.180425457556837,0.368434014054469
"K00002",127.463455437467,-0.171041722541145,0.208324411302016,-0.821035429655815,0.411626087594137,0.624755286269449
"K00003",62.5125943412156,0.330601511600801,0.228241173191186,1.44847446662865,0.147484401875938,0.325713984707205
"K00006",493.354717002805,-0.513049897700622,0.227131240933417,-2.25882575902899,0.0238942255395112,0.0850540070422431
"K00010",114.553594921646,0.277820756111882,0.184372647791025,1.50684366385395,0.131850734515602,0.301913897506745
"K00011",63.738917742104,0.362489712076076,0.265413598197369,1.36575410807143,0.172016154995271,0.356427591747555
"K00012",395.606444998207,0.483221375489189,0.159901032224146,3.02200285243824,0.00251108181955087,0.0129918517151059
"K00018",38.7082122858441,0.314537499160912,0.40891002586179,0.769209555324584,0.441768918846273,0.653379013283133
"K00019",74.4897244170152,-0.92462527435146,0.251074270803933,-3.68267633075597,0.000230798119969126,0.00159931746411392
"K00020",44.9847914127328,0.745991935467179,0.305163476376248,2.4445649404892,0.0145026968779256,0.0569200554345325
"K00021",324.770810222941,-0.159384052872424,0.417875531703818,-0.381415136278888,0.702895231257217,0.847166395598061
"K00024",379.136971882181,0.539810541970514,0.427409418661979,1.26298232654865,0.206595531266319,0.402804110084284
"K00026",4000.8633725751,1.04578295110641,0.17577316914898,5.94961652093807,2.68771447431052e-09,4.77351642139099e-08
"K00028",65.9974973451067,-0.351646372147643,0.254260807876782,-1.38301445308887,0.166660434285372,0.350417508015312
"K00029",65.9974973451067,-0.351646372147643,0.254260807876782,-1.38301445308887,0.166660434285372,0.350417508015312
"K00030",8.41766960625583,0.600193581804845,0.6087303850901,0.985976051969227,0.324144864682938,0.544795365015816
"K00031",260.825037833683,-0.0298533614038748,0.195775516451673,-0.152487716262744,0.878802278143253,0.9395832130216
"K00033",37.9516303921456,0.344093233532666,0.290134340161281,1.18597899628631,0.235630594270509,0.441102976962552
"K00034",17.497239502384,-6.14523143620951,1.05315566243537,-5.83506470638819,5.3769696055206e-09,9.20180183098606e-08
"K00036",60.9677070302159,-1.11028494638349,0.344152774265322,-3.22613975364186,0.00125472074374877,0.00714784984343135
"K00039",5.18593281765183,-0.182661929614157,0.68625265445365,-0.266173002652472,0.790105974012858,0.894589479572984
"K00045",45.682292137404,-0.456690530077607,0.296420258636894,-1.54068595776053,0.123393236036861,0.288167518634151
"K00046",10.0533719259767,-0.0792134967480597,0.589663904907599,-0.134336689237359,0.893136342349408,0.948088226798329
"K00049",31.9608105626489,0.422159720603383,0.296173854351255,1.42537808250525,0.154047940139533,0.335304141591043
"K00052",71.8636807529934,1.43164952166769,0.355396324803468,4.02831830762286,5.61772512248201e-05,0.000459306075294612
"K00053",104.075694799056,0.0191087438414467,0.295581392685457,0.0646479931224268,0.948454271617431,0.974979622112568
"K00058",525.010155036209,1.20982114476909,0.228602175357944,5.29225560900617,1.20816865203405e-07,1.74297914407779e-06
"K00059",205.158110114746,0.323082339958607,0.24599348446033,1.31337763139295,0.189055731109976,0.380542178762794
"K00064",73.3239059352781,-0.212069281572528,0.28062399090352,-0.755706170700987,0.449825383542628,0.660636655267763
"K00065",10.4981718888822,-0.278345414587896,0.496983307138056,-0.560069947199604,0.575431728236796,0.761994238123245
"K00074",46.1034081386616,-0.016356938487304,0.28631739232834,-0.0571286932808691,0.954442679809283,0.976934310002698
"K00077",14.9653960506808,-0.500093798061627,0.50159711104426,-0.99700294728671,0.318763079352252,0.539180286683461
"K00078",718.720496307318,1.44195387687717,0.187705430428898,7.68200405061469,1.56618883854575e-14,4.62956658778522e-13
"K00079",94.7897022488658,0.733814793077603,0.227086863024384,3.23142775986477,0.00123173454657131,0.00703586747075261
"K00083",6.5865944177495,-0.171718021418102,0.639909711987946,-0.268347265561328,0.788432027216146,0.894589479572984
"K00088",532.00926434599,-0.486328813382348,0.1715465263818,-2.83496742044171,0.00458303591939899,0.0216746176000543
"K00099",60.7666682942183,-0.22808351052128,0.26080758385812,-0.874527907307166,0.381830829110495,0.597334905495952
"K00101",19.1433974802704,0.103903392637165,0.425202866015701,0.24436192919106,0.806950524234734,0.904879969284613
"K00102",6.60519909803037,-0.0859739005675848,0.701089994005512,-0.122628908275232,0.902400961714396,0.953464530005651
"K00103",22.5611159933304,-0.555215028868795,0.442746542347687,-1.25402453946842,0.209833086128442,0.407291092569896
"K00106",91.7088823774909,-0.0669271805813688,0.200513827429968,-0.333778380469765,0.738546798639454,0.867177032735825
"K00107",321.066198798175,-0.627086952663705,0.195407108351824,-3.20913071153306,0.00133136951052524,0.00751361671694284
"K00108",25.6092582007777,-1.2673921561117,0.351796390395061,-3.60262979017052,0.000315014023114505,0.00212370697879587
"K00114",20.6657018010781,-1.82206299668795,0.630395333741512,-2.89034975223193,0.00384813430241741,0.0187969011302637
"K00116",11.1986806895804,-0.163118294365324,0.871939954127031,-0.187075146164892,0.851601714617937,0.926254104312973
"K00118",89.9060720089723,-0.307351667315363,0.364512275501757,-0.843186054275644,0.399124396644783,0.612154871051341
"K00121",197.811369473305,0.299971425357254,0.217569723883081,1.37873698602685,0.167975861497109,0.351850330301426
"K00128",486.8640431543,-0.644916622638501,0.206473196214985,-3.1234883484198,0.00178720941268344,0.00968530024027295
"K00130",21.6133331813743,-0.0307833032699768,0.42966990469563,-0.0716440759140047,0.942885162669771,0.97161764568628
"K00134",2553.97618762639,1.20432944170705,0.136763619057128,8.80591965911629,1.29783986803024e-18,6.3790338629812e-17
"K00135",31.3014018680163,-0.305623762867861,0.320584539460668,-0.95333281942424,0.34042146790847,0.562094353456681
"K00138",16.9336835566133,-1.67946815908811,0.552333726259782,-3.04067645925029,0.00236047328650471,0.0123486640867023
"K00142",38.7560236024622,-0.940439991136399,0.31954223186067,-2.9430851304389,0.00324959045700653,0.016313561593547
"K00145",37.445301030294,0.39389452379237,0.385544023260337,1.02165900656796,0.306942319510956,0.524644231529644
"K00147",36.1426523234185,-0.208823760593258,0.398177883850739,-0.524448416305155,0.599966688964592,0.779127248618535
"K00157",20.098236047437,-0.081794577726096,0.370347442603813,-0.220859032132153,0.82520219731755,0.912239806059858
"K00161",210.38314841569,0.599997911371885,0.176910426386242,3.39153504758352,0.000695022734529793,0.00429511856558105
"K00162",67.5286961686905,0.522006304094645,0.241434422449545,2.1621038905657,0.0306101692221518,0.102771394203364
"K00164",335.982062360023,-0.687846555510678,0.171532757236667,-4.01000116007954,6.07184495366018e-05,0.000492623581940913
"K00166",275.800413479526,0.211862148124282,0.202222831842472,1.0476668049497,0.294792146599827,0.511281294102215
"K00167",82.8668766399698,0.417601035126098,0.226470095318786,1.84395663603298,0.0651894601179453,0.183215324413933
"K00208",92.2096474517259,0.553593624139805,0.283107896859406,1.95541569232428,0.0505340254203251,0.152141969694953
"K00211",7.23558171145284,-0.72160806474603,0.602572890009672,-1.19754485591685,0.23109425495355,0.435698222876296
"K00213",100.76362310977,-0.569896753877618,0.321472578217438,-1.77276941329705,0.0762669236823411,0.205207056909775
"K00215",18.9247584275356,0.163584467293539,0.410433167914573,0.398565418396175,0.69021344677537,0.842486930268405
"K00218",495.02072292126,-0.235636300962442,0.1455551234259,-1.61888015630312,0.10547305122459,0.258305091266709
"K00219",20.4070669108879,-0.45488850383396,0.38276253624085,-1.1884352849719,0.234661961871953,0.439679128028699
"K00222",55.2848999624884,0.448008134069704,0.436199018701665,1.02707276922169,0.304386199923628,0.52238752215882
"K00225",34.8331862989951,0.498514782326658,0.358850612195515,1.38919863972546,0.164772355251839,0.347724785646293
"K00226",37.7649662398752,-0.141416262280637,0.359540478703858,-0.393325009719191,0.694079448640815,0.845382357006779
"K00227",652.325364644028,0.144183100655834,0.301424278980617,0.47833937313691,0.632408676963391,0.803242351567492
"K00228",256.483636997725,-0.0045720096490149,0.311987329129048,-0.0146544722241709,0.988307841355892,0.995135122775454
"K00231",28.9263169711375,-0.0418453391940381,0.313277519754527,-0.133572747980215,0.893740435004,0.94825321756072
"K00232",296.168185972121,-0.195616834935688,0.261626568545122,-0.747694838576573,0.454644245129123,0.665206377348842
"K00234",807.946374895199,0.597080993241968,0.158395506414047,3.76955765197779,0.000163537131225268,0.00117363574480341
"K00235",566.052213182043,0.357034485280848,0.226934797635872,1.57329104659272,0.115651441557286,0.275413320260646
"K00236",831.747139374827,0.751186722908346,0.173314497096914,4.33424055973979,1.46264166913722e-05,0.000138004159273282
"K00237",25.3717165993551,-3.40196825636805,0.487551487851924,-6.97765947009329,3.00138054731988e-12,7.24962032772635e-11
"K00248",289.346350116944,0.0140564539785834,0.228232616610033,0.0615882786052477,0.950890711540333,0.976534265714526
"K00249",46.9811625029932,-0.629268344924688,0.35421753327918,-1.77650253249526,0.0756501248762394,0.203936911895321
"K00252",283.432923007839,0.10590355799541,0.153790339158741,0.688622956257984,0.49106057090247,0.697952529804931
"K00253",203.65998670324,-0.0650826740581701,0.294676404298136,-0.22086150471798,0.825200272014247,0.912239806059858
"K00255",2911.66844048424,0.0344425617223045,0.263094537398709,0.130913252942642,0.895843930581278,0.949293631127366
"K00264",561.954898940385,-0.101470869970653,0.20974988364547,-0.483770804574862,0.628548537091216,0.800504569534369
"K00266",98.1036174054363,0.133301982179917,0.222237724853076,0.599817075467472,0.548628152099227,0.742636349270944
"K00274",18.5171767002531,0.106945495092718,0.440193269445129,0.242951227372296,0.808043180453368,0.904879969284613
"K00275",26.6046142971087,0.179044110205868,0.333379802500396,0.537057460779002,0.591227923574929,0.77202607415367
"K00276",528.673547579553,0.278709500611972,0.248045548218391,1.12362226459546,0.26117330668163,0.474014412770824
"K00281",237.432872244707,0.15161380691872,0.188940664585927,0.802441376243643,0.422297686844245,0.635476084831122
"K00284",30.5544929159085,0.278968339832819,0.336137871850499,0.829922371725177,0.406582675239965,0.619101213342699
"K00285",12.931185577587,-0.45909438705376,0.499546947036565,-0.919021504940068,0.358084324081876,0.576398491201101
"K00286",118.540185964091,0.435917284409059,0.222256773671204,1.96132283038507,0.0498413756932563,0.150464610648073
"K00287",111.57982305523,-1.15190048907474,0.215182583352348,-5.35313068153186,8.64453703436976e-08,1.27763839315668e-06
"K00288",122.753738162163,-0.26438912499344,0.183258420936776,-1.44271201095121,0.1491016143398,0.32774442216034
"K00293",36.4188795299714,0.264997840416876,0.29884018585901,0.886754368911748,0.375211159711274,0.593567771116913
"K00294",204.009152474522,0.19402654228938,0.191229734833388,1.01462537956468,0.310284436599856,0.529500328424542
"K00295",212.114069172715,0.0910383865678424,0.212113117934292,0.429197342693553,0.667779616657424,0.826560597250639
"K00297",34.1055399492027,0.72847208832842,0.308242916939633,2.36330519955171,0.0181127462172995,0.0686044608069221
"K00306",169.736230154202,0.352090968981859,0.262597689080313,1.34079995225767,0.179985411730557,0.367994692747893
"K00308",6.90777001097508,-0.215805354234414,0.622275361615487,-0.346800415935097,0.728741264631149,0.862612524669803
"K00311",398.550855999871,-0.586118316591678,0.26723542102576,-2.19326582659556,0.0282882322670913,0.0967430079231352
"K00314",20.5500160456392,-0.952829193574945,0.42102111021903,-2.26313876061761,0.0236271368403352,0.0842800906532464
"K00318",7.17232367861399,0.00175229014051095,0.568411151244599,0.0030827863539871,0.997540296259896,0.998485160381383
"K00323",442.039007851124,0.200308417031013,0.152065539463421,1.317250560106,0.187754651339206,0.378463953843978
"K00326",250.321359154433,0.507446773701201,0.185499034215301,2.73557636484634,0.00622711357854252,0.0283032355876336
"K00327",560.272580226232,-1.0733798399547,0.29736968623925,-3.60958056461448,0.000306692511691285,0.0020775468700626
"K00344",25.6610371213962,0.0122969600220133,0.422512036487207,0.029104401673976,0.976781325258281,0.9905599780103
"K00354",5.90150658429278,-0.342242743281889,0.677810590023866,-0.50492386563308,0.613612311024796,0.788610288446888
"K00355",33.9989306590818,0.610320627041353,0.568630896022454,1.0733159793295,0.283129368048911,0.499702646656679
"K00362",43.5267342667424,-2.99549782308671,0.518442864361317,-5.777874533536,7.56501856709246e-09,1.26392622462845e-07
"K00364",29.4871210228074,-0.236032248837304,0.371259933261007,-0.635760090683866,0.524932803436078,0.723959800161698
"K00366",690.229786892911,-0.527834338900784,0.240031796181078,-2.19901841047171,0.0278766132445699,0.0956448410590883
"K00372",11.9527114991079,-6.43712549119532,1.22220374796576,-5.26681864779855,1.38808208641829e-07,1.97316281582271e-06
"K00381",58.948220255827,0.935366314118931,0.262086382789699,3.56892374248028,0.000358450732254518,0.00237116000820007
"K00382",242.446507339176,0.664712629701419,0.150612931512917,4.41338351909319,1.01767482592275e-05,9.84373338484084e-05
"K00383",152.885834752515,-0.298876810746743,0.199869823642167,-1.49535735460412,0.134821203934455,0.306604026628117
"K00384",22.2205818088921,-0.315698056571864,0.35509897763959,-0.889042426059261,0.37398027908525,0.592509235267373
"K00387",875.491996630477,-0.337086849427507,0.257300517955838,-1.31009005386209,0.190165372749257,0.381685199720375
