"ko_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"K00001",161.751645037712,-0.502954764880837,0.241343827437879,0.0148405025974172,0.0529050156789524
"K00002",592.182907307799,-0.111013090720637,0.174383329138327,0.478783462733028,0.639542659193403
"K00003",292.122664044478,0.344000817123795,0.132803337463169,0.00558802615013431,0.0245421394537533
"K00006",715.156218669917,-0.94270437261024,0.427959240182297,0.000881710527067961,0.00549474964374772
"K00010",283.851357281645,0.000840611717572682,0.20377789354403,0.996234509523477,0.997210175696849
"K00011",336.38040807362,-0.133613303719089,0.158858196590512,0.356032084066372,0.520306536889979
"K00012",947.604627712422,-0.0602103430483472,0.185001002969495,0.714776479359034,0.817869240805049
"K00015",12.786897339878,0.11758286144128,0.346833774254081,0.631167748743285,0.764095160455309
"K00018",84.3205261824604,-0.283155881551186,0.216595108516098,0.129529599193126,0.259112854889921
"K00019",85.2192640142477,0.137990201260364,0.283479283219407,0.538739084755833,0.689884177711928
"K00020",197.328261083709,0.401030887880888,0.224655260753299,0.038348899797484,0.107981859824127
"K00021",238.87156394874,-0.31280314591566,0.294204177052093,0.175973233267825,0.320522674880682
"K00024",662.810649652876,0.391946123979702,0.141958682222754,0.00303060159572183,0.0149821432002153
"K00025",47.9118209331854,-0.561751565397939,0.248609061923566,0.00815477012542063,0.0330020575602043
"K00026",5534.51807466632,0.682272847901685,0.224891291495841,0.000649858308122082,0.00424445592265282
"K00028",318.381591472966,0.39621758977948,0.203083736798108,0.026775533810921,0.0831722299484046
"K00029",318.381591472966,0.39621758977948,0.203083736798108,0.026775533810921,0.0831722299484046
"K00030",45.6274153114213,-0.0716205793759721,0.237701881100144,0.720181959981651,0.820859620521845
"K00031",402.577359999507,0.543481982749515,0.206560558967086,0.00320815294481063,0.0157353762690515
"K00033",91.6324172851223,0.327064036607667,0.266812023488847,0.133141131543855,0.263958498792617
"K00036",446.231985730993,0.0557809556368125,0.18254015368409,0.732141198537223,0.829195946133932
"K00039",71.2244635423703,-0.0781809256304356,0.193191545174142,0.646768280577963,0.774819718678969
"K00044",61.7547898791612,-0.0851049049709454,0.3164196194188,0.719624553682128,0.820598567032461
"K00045",45.027213830129,0.180616200472351,0.307403037676581,0.441766220946025,0.604917143092666
"K00049",177.646724043,0.361212099958818,0.227169751598103,0.0634457710205985,0.156054115925665
"K00052",189.688647692054,0.189703384698439,0.254032407371753,0.365280337872896,0.529026696229711
"K00053",720.436257843637,0.39063070511793,0.172159703581047,0.0123451575576602,0.0461489135925099
"K00058",2388.71667638337,-0.180126418975229,0.132675478996028,0.144943090543521,0.280447392536834
"K00059",869.805940364765,0.466279747822385,0.136331238874555,0.000285957167031727,0.00209255332477976
"K00064",181.258212548774,-0.16970470171368,0.169213947297206,0.26621735995674,0.427007177491587
"K00065",153.106228282829,0.260234315887446,0.249885307527147,0.209852573193955,0.363172839620286
"K00074",105.278370963636,1.43693981615616,0.242533702096659,1.10400342837209e-11,6.64796281325746e-10
"K00077",186.468411516166,-0.280202657377267,0.169784831825068,0.0673505810992267,0.163279193705964
"K00078",1273.81526871314,0.3745377991927,0.352658419255459,0.137485605478301,0.270001200856798
"K00079",264.369386924493,0.365485369601712,0.179635883855355,0.0235584179167423,0.0749490596740152
"K00083",25.2390122902844,-0.0192087366969259,0.28705674372111,0.932190449327902,0.958621078162071
"K00088",1031.35961986977,-0.431837014724703,0.20411416535499,0.0165979500609838,0.0577671942845916
"K00099",177.083382961942,-0.0370809247800358,0.162517064949605,0.802055608481111,0.88083364781116
"K00101",145.705321180583,-0.111609934137024,0.182529506162776,0.492958066836982,0.65008032138555
"K00102",23.5417548761446,0.0103098658094486,0.276828028993921,0.962804763465187,0.977275365208473
"K00103",64.8853241806515,0.0342801479080462,0.203394848176383,0.847143211533654,0.912003323677919
"K00106",366.813160703824,-0.595668844374173,0.230102531924126,0.003128805538629,0.0153763717621119
"K00107",71.5819930608197,-0.635739318505109,0.274762332790304,0.00550797360679596,0.024275883674397
"K00108",139.730971876981,-1.03013170413006,0.401114420144853,0.00025739135986098,0.00193159461949727
"K00111",8.69014333774473,-0.557314251696919,0.653136641265636,0.0126900480968439,0.0470162048836367
"K00114",39.2057294092558,-4.15581905383415,0.47224330236034,6.22758378619228e-19,1.15279495419959e-16
"K00118",58.5776509944181,-0.733758978906673,0.256905687928327,0.00091523833797454,0.00567192005445023
"K00121",829.380229425535,-0.0162698924979406,0.166213521104928,0.914076965355787,0.952225775538774
"K00123",9.15776884977997,-4.14962667230957,2.24060921592802,1.92230956630132e-05,0.00020503224517132
"K00128",2035.12211305228,-0.378618435064393,0.120188771324471,0.000877054374506737,0.00547816978146295
"K00130",58.221002973011,0.0314064967121135,0.280890740865161,0.887994709577386,0.93751532709501
"K00134",7111.42893084222,0.901761957867079,0.146063149280986,1.28294284490687e-10,6.10680794175672e-09
"K00135",50.3673631002572,-0.244831605899692,0.256556709023288,0.246457664067873,0.40439770354932
"K00138",48.786518291881,-6.01137153776712,0.672982882720159,1.47897909836247e-19,3.2138858841807e-17
"K00140",28.224659212397,-0.00446671081863782,0.330376487232489,0.985196554400375,0.991145808955933
"K00142",53.1432799547633,-0.130655960936755,0.285456390175043,0.562043283950185,0.706867723498496
"K00145",114.683510228706,0.399685400316673,0.201040005040193,0.0243513365853614,0.0771279976258785
"K00147",129.414919261442,-0.783014397681505,0.262010451274437,0.000507722004256111,0.00346192984621016
"K00157",284.975318174395,-0.440501712200683,0.262691335413904,0.0429072663527173,0.117314287325427
"K00161",894.297826976868,1.25352898669742,0.160513374315423,1.62043714511214e-16,2.31398424322014e-14
"K00162",412.727975862625,0.640599350358122,0.19614873264942,0.000344651058401277,0.00248208355891871
"K00164",1070.0472090597,0.46608036120785,0.133418291224219,0.000218251740946211,0.00173016872066176
"K00166",554.592236321409,0.191022044402639,0.240946472607034,0.344086527110895,0.509159885213669
"K00167",336.732736589262,0.589786122008947,0.170635414317504,0.000198988020444572,0.0015989423250514
"K00181",11.0366937199364,-0.240050825651158,0.363330263166731,0.336645530028867,0.501805654364533
"K00208",334.591281051132,0.0927686917072192,0.168246836177742,0.542080859348493,0.69185907431659
"K00211",160.384826507442,-0.478095644393409,0.214790162058732,0.0112532204956894,0.0429340427766835
"K00213",187.316550252202,0.541049823259221,0.157442776430432,0.000235737024156575,0.00182104118506115
"K00215",171.625442534389,0.658852834174433,0.22000802205056,0.000789809929001981,0.00502862423586229
"K00218",1851.00509558609,-0.128758175266996,0.187165505033153,0.438272718326433,0.601519893854196
"K00219",195.368736131992,-0.317424705811624,0.257375936045884,0.135086044340405,0.266569360910099
"K00222",93.9357400926864,-0.0361827128220785,0.203163318346052,0.8386281673017,0.907605609964818
"K00225",144.496806680888,0.0828175020931461,0.247029271306444,0.686828606525392,0.801674305327863
"K00226",20.6375256423488,0.0541213717280945,0.29599034905946,0.813616401482615,0.890204635422529
"K00227",458.554246570335,-0.471367326003509,0.332978289961722,0.0591253117786453,0.148571296264288
"K00228",315.373217170547,0.764159418215884,0.19237612850937,1.75552548941185e-05,0.000190741660784357
"K00231",56.0304069067771,-0.158198310948215,0.271352463886852,0.469464881572543,0.632278490460677
"K00232",353.102420619803,-1.25320178455609,0.236090326718063,2.20345436988413e-09,7.10507415527798e-08
"K00234",1025.0451351701,0.258999782680311,0.17342167600905,0.0965217961019421,0.210846126275134
"K00235",777.06411105301,-0.119202516270481,0.22629744972582,0.536456905028937,0.688195998802522
"K00236",1318.56495785387,1.04514291006528,0.179009376452337,5.01748093110611e-10,2.00618957549347e-08
"K00248",486.268158639753,0.119826022772785,0.147811305958594,0.378567708096249,0.541945482710148
"K00249",284.820763047018,-0.528114832203817,0.256740321136833,0.0146121588802888,0.0522774302674899
"K00252",1562.20017346093,0.725698107440789,0.133940293911076,1.92065838526337e-08,4.75220327205264e-07
"K00253",292.794498445758,0.209258736229551,0.18501869531218,0.203031122698017,0.355769572201084
"K00254",27.2236496082473,0.119833204365864,0.292341443315787,0.599670649868978,0.739855321660121
"K00255",3611.90904841468,-0.337975855340645,0.147225734502074,0.0128864471122799,0.047462389585243
"K00264",2533.56234858189,0.318662490041016,0.173791343546681,0.0417211979675273,0.11495179021042
"K00265",111.6726018828,-0.00309646326052722,0.241553251728714,0.987785347056454,0.992551500721382
"K00266",1450.86160226616,0.0644337393467431,0.132344339820641,0.602310383426556,0.742196078985682
"K00272",11.0036438573956,0.116625151892022,0.364627282751357,0.636866686318996,0.767187201306903
"K00273",11.0036438573956,0.116625151892022,0.364627282751357,0.636866686318996,0.767187201306903
"K00274",763.889971274797,-1.48658512126633,0.187506755082202,5.91805961953953e-18,9.54143934788986e-16
"K00275",205.171905790545,-0.108975372899474,0.173086684880717,0.484189862339196,0.643269785212999
"K00276",1092.48827674229,0.24852622542254,0.266379508871267,0.251356850055348,0.409879783548656
"K00281",790.657433917511,-0.0388436690760188,0.103734696434266,0.695419255668381,0.807012261995275
"K00284",479.995372649267,0.0471309931198889,0.178917702441453,0.768770669185551,0.856703635359952
"K00285",45.9624466231755,-0.398790508314749,0.284500675815458,0.0804932283198833,0.18556510846069
"K00286",218.084560907677,0.270312626238095,0.140941888669289,0.0381552402105769,0.107618448404325
"K00287",1044.72803145302,0.750250115923646,0.334627520647567,0.00366125168797689,0.0176120653864374
"K00288",16.5448641169312,-0.128665437667337,0.376771689465423,0.603359053771709,0.743097831210666
"K00293",157.576611368513,0.423827277149806,0.233738545985082,0.0340086188852656,0.0988935351689342
"K00294",519.714004905988,0.115276479349799,0.137741595491562,0.367587903021169,0.531275627336786
"K00295",431.655615715473,0.0616599501400959,0.132692777377432,0.618866145180215,0.75496533893354
"K00297",205.489275288972,-0.0211116527734767,0.340528028332017,0.930767785340915,0.957985459459203
"K00306",531.63815083913,0.282531342200776,0.175787444492507,0.0732595033688975,0.173700074646377
"K00308",21.4870827715669,-0.293333014335341,0.308218903756111,0.215278463152356,0.369578208082636
"K00311",550.011747613408,-0.717312266217601,0.149654744433946,5.09551981838648e-07,8.63301967874427e-06
"K00314",153.297394384499,-0.293301934891925,0.226003535333544,0.128703604231437,0.258441387685304
"K00315",21.1479959173516,-1.15813416047628,0.383433267238415,3.42707240025328e-05,0.000341886384360597
"K00318",27.5328011080928,0.178316311164163,0.263874358605119,0.406668280486583,0.57189872421833
"K00322",103.394074451607,-1.66794359952026,0.471759581202936,5.67655730256128e-08,1.24984288097803e-06
"K00323",1350.56295295548,0.63442963790934,0.263579448365599,0.0044217328240461,0.0204026868145048
"K00326",700.554753928047,0.139622026581458,0.104038313269357,0.159563698148512,0.299361622877726
"K00327",564.371068101849,-0.63107410359409,0.320629229422886,0.0115770158032619,0.0438347916550779
"K00344",296.052458004011,-0.226417323344036,0.226304408788925,0.240414073495657,0.397351038138655
"K00354",58.1973112818781,0.143154591937665,0.237818096125529,0.474049781484292,0.635542062193801
"K00362",29.3498661064502,-3.84240749527933,2.43073470019961,3.50398625477703e-05,0.000346986075789712
"K00364",55.7405394008669,-0.215720220324911,0.404223787185107,0.384269736792889,0.548110771829583
"K00366",1201.46533139624,0.524942562755081,0.338051121477569,0.037941648974397,0.10716782726092
"K00381",709.709296257374,0.860482517965871,0.240953258216393,5.51306920727775e-05,0.000515998499962064
"K00382",1099.27401329305,0.817277297321697,0.127057880122349,3.30097904519808e-11,1.83314369643333e-09
"K00383",363.51253075696,-0.0643168618876334,0.15896922139318,0.657570240351217,0.782508586017948
"K00384",288.585156410917,-0.21583163767001,0.179013838710422,0.177232337471929,0.322228891482249
"K00387",1045.88207258975,0.571523832956985,0.157792571545552,0.000111632377622289,0.000966964685192722
"K00390",1316.61007504666,-0.00362103251672459,0.132848182861524,0.976733635443847,0.986404265497747
"K00392",705.377394116139,0.900339493986165,0.240900149680634,2.51137020406488e-05,0.000260068245889256
"K00411",595.336584137713,0.416679878863303,0.145109923973459,0.00204273105198158,0.0108728112862662
"K00413",906.000995494326,0.377752243472426,0.164209442280231,0.0116829262664409,0.0441914327901623
